 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(!!!) ALL SPEED STATS IN THIS SECTION ARE ASSUMING YOU'RE LEVEL 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"OAK'S LAB
PROFESSOR
OAK",,Tauros,,,,,Exeggutor,,,,,Charizard-MegaX,,,,,Gyarados,,,,,Mew,,,,,Jolteon,,,
,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jolly,,,,,Modest,,,,,Jolly,,,,,Jolly,,,,,Timid,,,,,Timid,,,
,,,,Sheer Force,,,,,Harvest,,,,,"Blaze
Tough Claws",,,,,Moxie,,,,,Synchronize,,,,,Volt Absorb,,,
,,,,Life Orb,,,,,Sitrus Berry,,,,,Charizardite X,,,,,Water Gem,,,,,Fighting Gem,,,,,Eevium Z,,,
,,,,Head Charge,,,,,Chloroblast,,,,,Dragon Dance,,,,,Dragon Dance,,,,,Nasty Plot,,,,,Last Resort,,,
,,,,Close Combat,,,,,Sleep Powder,,,,,Flare Blitz,,,,,Waterfall,,,,,Psyshock,,,,,Thunderbolt,,,
,,,,Throat Chop,,,,,Psyshock,,,,,Dragon Claw,,,,,Earthquake,,,,,Aura Sphere,,,,,Shadow Ball,,,
,,,,Iron Head,,,,,Earth Power,,,,,Earthquake,,,,,Power Whip,,,,,Dark Hole,,,,,HP Ice,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,75,,,,HP,95,,252,,HP,78,,,,HP,95,,,,HP,100,,,,HP,65,,
,,,,ATK,100,,252,,ATK,95,,,,ATK,130,,252,,ATK,125,,252,,ATK,100,,,,ATK,65,,
,,,,DEF,95,,4,,DEF,85,,4,,DEF,111,,,,DEF,79,,,,DEF,100,,,,DEF,60,,
,,,,SPA,70,,,,SPA,125,,252,,SPA,130,,,,SPA,60,,,,SPA,100,,252,,SPA,110,,252
,,,,SPD,70,,,,SPD,75,,,,SPD,85,,,,SPD,100,,,,SPD,100,,4,,SPD,95,,4
,,,,SPE,110,,252,,SPE,55,,,,SPE,100,,252,,SPE,81,,252,,SPE,100,,252,,SPE,130,,252
,,,,SPEED STAT:,,,350,,SPEED STAT:,,,146,,SPEED STAT:,,,328,,SPEED STAT:,,,287,,SPEED STAT:,,,328,,SPEED STAT:,,,394
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVOBOOST:,,,788
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(!) BACK TO BACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"OAK'S LAB
PROFESSOR
OAK",,Pidgeot-Mega,,,,,Blastoise-Mega,,,,,Flareon,,,,,Zapdos,,,,,Machamp,,,,,Nidoking,,,
,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Timid,,,,,Timid,,,,,Jolly,,,,,Hasty,,,,,Adamant,,,,,Timid,,,
,,,,"Frisk
No Guard",,,,,"Torrent
Mega Launcher",,,,,Toxic Boost,,,,,Pressure,,,,,No Guard,,,,,Sheer Force,,,
,,,,Pidgeotite,,,,,Blastoisinite,,,,,Eevium Z,,,,,Flying Gem,,,,,Assault Vest,,,,,Life Orb,,,
,,,,Hurricane,,,,,Shell Smash,,,,,Sacred Fire,,,,,Bolt Beak,,,,,Dynamic Punch,,,,,Sludge Wave,,,
,,,,Heat Wave,,,,,Water Pulse,,,,,Last Resort,,,,,Brave Bird,,,,,Mach Punch,,,,,Earth Power,,,
,,,,Focus Blast,,,,,Dark Pulse,,,,,Wild Charge,,,,,U-Turn,,,,,Stone Edge,,,,,Flamethrower,,,
,,,,U-Turn,,,,,Aura Sphere,,,,,Superpower,,,,,HP Grass,,,,,Knock Off,,,,,Ice Beam,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,83,,,,HP,79,,,,HP,65,,,,HP,90,,,,HP,90,,252,,HP,81,,
,,,,ATK,80,,,,ATK,103,,,,ATK,130,,252,,ATK,90,,252,,ATK,130,,252,,ATK,102,,
,,,,DEF,80,,4,,DEF,120,,4,,DEF,70,,,,DEF,85,,,,DEF,80,,,,DEF,77,,
,,,,SPA,135,,252,,SPA,135,,252,,SPA,65,,,,SPA,125,,4,,SPA,65,,,,SPA,85,,252
,,,,SPD,80,,,,SPD,115,,,,SPD,100,,,,SPD,90,,,,SPD,85,,4,,SPD,75,,4
,,,,SPE,121,,252,,SPE,78,,252,,SPE,95,,252,,SPE,100,,252,,SPE,55,,,,SPE,85,,252
,,,,SPEED STAT:,,,375,,SPEED STAT:,,,280,,SPEED STAT:,,,317,,SPEED STAT:,,,328,,SPEED STAT:,,,146,,SPEED STAT:,,,295
,,,,,,,,,,,,,,EVOBOOST:,,,634,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BATTLE EFFECT: UNABLE TO USE FAIRY TYPES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GYM LEADER
CLAIR",,Dragapult,,,,,Dialga-Primal,,,,,Dragonite,,,,,Flapple-Mega,,,,,Kyurem-B,,,,,Genesect,,,
,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,,,Highest Lv,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Hasty,,,,,Modest,,,,,Lonely,,,,,Naive,,,,,Jolly,,,,,Hasty,,,
,,,,Clear Body,,,,,Primal Armor,,,,,Multiscale,,,,,"Ripen
Dragon's Maw",,,,,Teravolt,,,,,Download,,,
,,,,Focus Sash,,,,,Adamant Orb,,,,,Weakness Pol.,,,,,Applite,,,,,Lum Berry,,,,,Life Orb,,,
,,,,Dragon Darts,,,,,Roar Of Time,,,,,Dual Wingbeat,,,,,Dragon Energy,,,,,Dragon Dance,,,,,U-Turn,,,
,,,,Spirit Shackle,,,,,Flamethrower,,,,,Fire Blast,,,,,Energy Ball,,,,,Dragon Hamm.,,,,,Extreme Speed,,,
,,,,U-Turn,,,,,Flash Cannon,,,,,Dragon Hamm.,,,,,Sucker Punch,,,,,Fusion Bolt,,,,,Ice Beam,,,
