,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GYM LEADER
BROCK",,Geodude-A,,,,,Varoom,,,,,Onix,,,,,Archen,,,,,,,,,,,,,
,,,,13,,,,,13,,,,,14,,,,,12,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Adamant,,,,,Brave,,,,,Bashful,,,,,Jolly,,,,,,,,,,,,,
,,,,Sturdy,,,,,Filter,,,,,Sturdy,,,,,Defeatist,,,,,,,,,,,,,
,,,,Custap Berry,,,,,Air Balloon,,,,,Berry Juice,,,,,Berry Juice,,,,,,,,,,,,,
,,,,Bulldoze,,,,,Gyro Ball,,,,,Rock Tomb,,,,,Pluck,,,,,,,,,,,,,
,,,,Rock Tomb,,,,,Bulldoze,,,,,Bulldoze,,,,,Rock Tomb,,,,,,,,,,,,,
,,,,Spark,,,,,Toxic,,,,,Sleep Talk,,,,,Bulldoze,,,,,,,,,,,,,
,,,,Self-Destruct,,,,,Protect,,,,,-,,,,,Facade,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,,,,,,,,,
,,,,HP,40,,,,HP,45,,,,HP,50,,,,HP,55,,,,,,,,,,,,
,,,,ATK,80,,,,ATK,70,,,,ATK,60,,,,ATK,112,,,,,,,,,,,,
,,,,DEF,100,,,,DEF,63,,,,DEF,150,,,,DEF,45,,,,,,,,,,,,
,,,,SPA,30,,,,SPA,30,,,,SPA,30,,,,SPA,74,,,,,,,,,,,,
,,,,SPD,30,,,,SPD,45,,,,SPD,45,,,,SPD,45,,,,,,,,,,,,
,,,,SPE,20,,,,SPE,47,,,,SPE,65,,,,SPE,70,,,,,,,,,,,,
,,,,SPEED STAT:,,,14,,SPEED STAT:,,,15,,SPEED STAT:,,,27,,SPEED STAT:,,,27,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
