,,,,
,,,,
,,PLEASE CHECK THE OTHER TABS AT THE BOTTOM! THIS IS ONLY THE FIRST TAB.,,
,,IT IS RECOMMENDED THAT YOU ZOOM OUT TO SEE EVERYTHING BETTER.,,
,,CLICK/TAP THE LINK INSIDE THAT BOX TO ACCESS THE TRAINER ORDER.,,
,,REPORT MISTAKES IN THE #DOCUMENTATION-REPORTS CHANNEL ON OUR DISCORD SERVER.,,
,,,,
,,LEVEL CAPS,,
,,,,
,,,,Pre-Brock (15)
,,,,
,,,,Pre-Mt. Moon Archer (22)
,,,,
,,,,Pre-Misty (27)
,,,,
,,,,Pre-Lt. Surge (34)
,,,,
,,,,Pre-Erika (44)
,,,,
,,,,Pre-Game Corner Giovanni (47)
,,,,
,,,,Pre-Silph Co. Archer & Ariana (56)
,,,,
,,,,Pre-Giovanni Silph Co. (57)
,,,,
,,,,Pre-Sabrina (59)
,,,,
,,,,Pre-Koga (68)
,,,,
,,,,Pre-May (73)
,,,,
,,,,Pre-Blaine (76)
,,,,
,,,,Pre-Cerulean Cave Archer & Ariana (79)
,,,,
,,,,Pre-Cerulean Cave Giovanni (80)
,,,,
,,,,Pre-Clair (81)
,,,,
,,,,Pre-Brendan (82)
,,,,
,,,,Pre-Elite 4 (85)
,,,,
,,,,Post Game (100)
,,,,
,,HOW TO GET FOCUS SASH AND CHOICE ITEMS FROM QUESTS (MGM),,
,,,,
,,,,"Show a Pokémon with 125+ base stat in the respective stat (Chuck asks for a Pokémon with strong attack, show a mon with 125+ base attack like Terrakion)."
,,,,
,,ABOUT THE SHEET,,
,,,,
,,,,"All of the info in this sheet should be 100% accurate, because it was obtained via byte copying and using the Stat Scanner for EVs and IVs."
,,,,
,,,,"Even if something looks VERY wrong, that's how it is in-game. Though, feel free to report text typos if you ever find those."
,,,,
,,,,"Most of the opposing Pokémon's moves in this sheet are PP maxed. If the team has a Paldea Pokémon, it's likely that all the Pokémon in the team have PP maxed moves."
,,,,
,,,,"Generally, if a Pokémon has Gyro Ball in its moveset or is part of a Trick Room team, you can safely assume 0 speed IVs."
,,,,
,,,,"Rival's chosen starter determines what team he gets. If he has the Squirtle team, that means the player chose a Fire-type starter Pokémon."
,,,,
,,,,"Status moves don't have a type icon near them, for the reader to identify damaging moves and their types better."
,,,,
,,,,"In Minimal Grinding Mode, opponents don't have EVs. Except for one specific case which is the Ghost Marowak, having 252 HP EVs."
,,,,
,,,,"After you become the Champion, every level scale (excluding Postgame trainers) will be two levels higher."
,,,,
,,,,All speed stats are determined based on the point when you're expected to battle with the trainer at that specific juncture in the game.
