,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BATTLE EFFECT: PERMANENT SANDSTORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GYM LEADER
BROCK",,Great Tusk,,,,,Omastar,,,,,Ursaluna-BM,,,,,Tyranitar,,,,,Arcanine-H,,,,,Aerodactyl-Mega,,,
,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jolly,,,,,Timid,,,,,Modest,,,,,Jolly,,,,,Jolly,,,,,Jolly,,,
,,,,Protosynthesis,,,,,Weak Armor,,,,,Scrappy,,,,,Sand Stream,,,,,Rock Head,,,,,"Pressure
Tough Claws",,,
,,,,Booster Energy,,,,,Power Herb,,,,,Leftovers,,,,,Weakness Pol.,,,,,Focus Sash,,,,,Aerodactylite,,,
,,,,Stealth Rock,,,,,Shell Smash,,,,,Earth Power,,,,,Dragon Dance,,,,,Flare Blitz,,,,,Dragon Dance,,,
,,,,Close Combat,,,,,Meteor Beam,,,,,Blood Moon,,,,,Stone Edge,,,,,Head Smash,,,,,Stone Edge,,,
,,,,Headlon. Rush,,,,,Surf,,,,,Vacuum Wave,,,,,Fire Punch,,,,,Wild Charge,,,,,Earthquake,,,
,,,,Knock Off,,,,,Ice Beam,,,,,Hyper Voice,,,,,Knock Off,,,,,Extreme Speed,,,,,Dual Wingbeat,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,115,,,,HP,70,,,,HP,113,,252,,HP,100,,,,HP,95,,,,HP,80,,
,,,,ATK,131,,252,,ATK,60,,,,ATK,70,,,,ATK,134,,252,,ATK,125,,252,,ATK,135,,252
,,,,DEF,131,,,,DEF,125,,,,DEF,120,,,,DEF,110,,,,DEF,80,,,,DEF,85,,
,,,,SPA,53,,,,SPA,115,,252,,SPA,135,,252,,SPA,95,,,,SPA,85,,,,SPA,70,,
,,,,SPD,53,,4,,SPD,70,,4,,SPD,65,,4,,SPD,100,,4,,SPD,80,,4,,SPD,95,,4
,,IF YOU'RE,,SPE,87,,252,,SPE,55,,252,,SPE,52,,,,SPE,61,,252,,SPE,90,,252,,SPE,150,,252
,,LEVEL 68 ->>,,SPEED STAT:,,,199,,SPEED STAT:,,,152,,SPEED STAT:,,,94,,SPEED STAT:,,,161,,SPEED STAT:,,,203,,SPEED STAT:,,,291
,,,,,,,,,1 WEAK ARM.:,,,304,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BATTLE EFFECT: PERMANENT RAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"GYM LEADER
MISTY",,Palafin-Hero,,,,,Kingdra,,,,,Archaludon,,,,,Gyarados-Mega,,,,,Ferrothorn,,,,,Gorebyss,,,
,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,,,Highest Lv -2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Jolly,,,,,Jolly,,,,,Modest,,,,,Jolly,,,,,Relaxed,,,,,Timid,,,
,,,,Zero To Hero,,,,,Swift Swim,,,,,Sturdy,,,,,"Intimidate
Mold Breaker",,,,,Iron Barbs,,,,,Dazzling,,,
,,,,Mystic Water,,,,,Scope Lens,,,,,Leftovers,,,,,Gyaradosite,,,,,Rocky Helmet,,,,,Focus Sash,,,
,,,,Flip Turn,,,,,Snipe Shot,,,,,Electro Shot,,,,,Dragon Dance,,,,,Leech Seed,,,,,Shell Smash,,,
,,,,Wave Crash,,,,,Dragon Pulse,,,,,Flash Cannon,,,,,Waterfall,,,,,Gyro Ball,,,,,Surf,,,
,,,,Jet Punch,,,,,Hurricane,,,,,Dragon Pulse,,,,,Crunch,,,,,Power Whip,,,,,Ice Beam,,,
,,,,Drain Punch,,,,,Ice Beam,,,,,Body Press,,,,,Earthquake,,,,,Thunder Wave,,,,,Moonblast,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs,,BASE STATS,,,EVs
,,,,HP,100,,,,HP,75,,,,HP,90,,252,,HP,95,,,,HP,74,,252,,HP,55,,
,,,,ATK,160,,252,,ATK,95,,,,ATK,105,,,,ATK,155,,252,,ATK,94,,,,ATK,84,,
,,,,DEF,97,,,,DEF,95,,,,DEF,130,,4,,DEF,109,,,,DEF,131,,252,,DEF,105,,
,,,,SPA,106,,,,SPA,95,,252,,SPA,125,,252,,SPA,70,,,,SPA,54,,,,SPA,104,,252
,,,,SPD,87,,4,,SPD,95,,4,,SPD,65,,,,SPD,130,,4,,SPD,116,,4,,SPD,75,,4
